Marianne,Williamson,D
Donald,Trump,R
Ron,DeSantis,R
Nikki,Haley,R
Vivek,Ramaswamy,R
Mike,Pence,R
Tim,Scott,R
Chris,Christie,R
Doug,Burgum,R
Asa,Hutchinson,R
Larry,Elder,R
Will,Hurd,R
Perry,Johnson,R
Joe,Biden,D
Robert,Kennedy,D
